CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporeColor,Population,Habitat,Edible
x,s,n,b,s,a,c,b,e,b,c,s,s,o,n,u,y,o,e,u,a,g,1
b,y,b,t,m,d,w,b,e,b,?,y,s,p,e,u,n,o,p,b,v,l,1
x,y,g,t,n,a,c,b,r,b,b,k,y,e,e,u,w,o,c,y,t,w,1
s,g,u,b,l,a,w,n,e,t,e,y,k,y,e,u,w,n,s,k,t,d,1
x,s,g,b,f,f,c,n,p,b,u,k,s,g,e,p,n,n,c,r,n,l,1
x,s,y,t,a,f,d,b,u,b,u,k,y,p,o,p,n,n,e,k,v,p,1
k,f,e,b,f,a,c,b,k,b,e,k,f,c,o,u,o,n,e,u,n,m,1
k,g,r,b,m,n,c,b,o,b,u,s,f,y,n,u,y,n,l,w,v,p,1
k,f,g,b,y,f,c,n,b,t,r,f,k,o,c,p,y,t,p,r,v,l,1
c,f,r,b,n,d,d,b,g,b,?,f,s,o,c,p,w,n,p,o,v,m,1
b,g,u,b,l,d,w,n,y,b,e,f,s,c,n,p,n,t,z,w,n,u,1
b,y,b,t,s,a,w,n,w,b,r,y,f,o,n,u,w,o,n,n,s,p,1
x,f,n,t,l,n,c,b,r,t,u,k,y,e,n,u,w,t,e,u,a,m,1
s,g,n,b,n,a,w,b,b,b,u,k,k,w,o,u,o,t,n,r,a,u,1
b,s,n,b,y,f,d,n,g,t,b,k,s,w,o,p,o,t,e,y,s,d,1
s,g,e,b,p,d,w,b,h,t,c,f,y,n,g,p,w,o,c,k,n,p,1
x,y,e,b,c,n,d,n,e,t,r,s,s,b,e,u,o,n,c,o,s,w,1
k,f,e,t,l,d,w,b,p,t,c,y,k,o,p,u,o,t,c,w,v,u,1
f,f,n,t,n,n,c,b,k,b,c,k,k,g,w,u,y,o,c,r,s,m,1
k,y,y,t,c,n,w,b,r,b,c,f,s,c,b,p,y,t,n,n,t,d,1
s,f,e,t,s,d,d,b,e,b,r,y,y,e,w,p,o,o,s,o,v,w,1
k,f,b,t,l,d,c,b,n,b,z,k,f,g,n,p,y,n,l,u,c,m,1
k,g,u,t,l,a,d,b,n,b,b,k,s,y,o,u,o,t,l,n,v,p,1
f,f,e,t,a,a,c,b,o,t,e,f,k,c,w,u,o,n,e,o,n,d,1
c,f,p,t,n,d,d,n,u,b,u,k,k,c,b,p,o,t,l,h,v,w,1
c,f,c,t,l,d,w,n,e,b,e,k,f,y,o,u,o,t,p,u,s,d,1
f,f,r,t,s,n,d,b,h,b,e,k,y,n,o,p,n,o,n,w,c,d,1
f,s,c,b,f,f,c,b,b,b,?,s,s,o,n,p,o,t,p,k,c,l,1
k,s,u,b,m,n,w,n,k,t,r,y,s,o,p,p,o,n,e,y,a,m,1
f,y,b,b,p,f,c,n,o,b,b,y,y,e,n,p,o,o,e,y,c,d,1
c,f,r,t,f,f,d,b,w,t,e,y,k,o,w,u,y,n,l,u,c,w,1
k,g,c,t,s,a,c,b,g,t,?,y,f,y,e,p,y,n,p,y,c,g,1
x,y,r,t,m,d,d,n,o,b,u,y,s,w,w,p,o,n,f,o,s,p,1
s,f,n,t,s,f,c,b,h,b,b,y,f,e,p,p,n,t,f,r,c,p,1
c,f,e,b,p,a,d,n,y,b,c,y,k,p,p,p,w,o,s,u,t,d,1
s,g,c,b,n,d,d,b,y,t,c,k,y,g,n,p,n,t,l,n,n,p,1
c,f,r,b,f,d,c,b,o,b,u,y,s,e,b,u,w,n,p,r,n,w,1
c,g,n,b,a,f,c,b,r,b,c,s,k,o,w,u,y,o,p,h,c,l,1
x,s,r,b,n,d,d,b,e,t,?,y,s,p,b,p,w,o,z,r,c,p,1
x,s,n,b,y,d,c,n,k,b,e,y,y,o,y,u,y,t,n,w,s,m,1
f,s,y,t,f,a,d,b,b,b,z,y,s,c,p,u,n,n,e,k,s,g,1
s,g,p,b,l,n,d,b,b,t,e,f,k,g,o,p,w,o,f,b,a,g,1
s,s,e,b,s,d,d,b,e,t,b,s,k,e,b,u,y,t,e,r,a,l,1
x,s,y,t,y,d,w,b,b,t,b,f,f,b,p,p,y,o,l,n,t,d,1
b,g,c,b,p,n,w,b,p,b,c,k,s,o,w,u,n,n,s,u,v,l,1
b,g,y,b,f,a,c,n,h,b,?,y,f,g,g,p,w,n,z,y,v,u,1
b,s,c,t,p,f,w,b,n,b,e,f,s,c,w,u,n,t,e,b,c,w,1
b,g,u,t,y,a,d,b,n,t,c,y,s,e,c,u,n,n,c,r,v,p,1
s,g,y,t,l,n,w,n,g,t,?,s,k,g,c,p,n,n,z,b,s,w,1
x,y,c,t,p,a,c,b,w,b,b,k,s,e,c,p,y,n,f,u,t,d,1
f,g,g,b,l,f,w,b,g,t,c,k,s,g,g,u,n,o,c,y,c,u,1
f,s,p,b,n,d,c,n,h,b,z,s,s,o,p,u,w,t,p,b,c,d,1
k,s,b,b,c,d,w,b,k,b,r,k,k,o,o,p,n,o,f,n,t,u,1
b,s,g,t,y,a,w,b,k,b,?,s,y,b,e,p,y,t,n,b,n,m,1
s,g,w,t,l,d,c,b,n,b,z,f,k,p,p,p,w,t,s,o,v,u,1
b,y,e,b,s,f,d,b,g,b,r,f,y,c,o,u,w,n,c,n,c,d,1
b,s,p,b,m,d,d,n,o,t,b,f,y,o,g,p,n,t,p,n,a,g,1
k,f,w,t,m,d,d,b,e,t,r,s,f,w,b,u,n,t,f,r,a,g,1
c,y,n,b,y,n,w,b,w,t,?,f,k,e,g,p,o,o,n,k,s,w,1
b,f,e,t,n,d,w,n,g,b,z,f,f,e,b,p,n,o,n,b,t,d,1
c,g,c,b,l,d,d,n,r,t,r,f,k,c,g,u,n,o,s,h,v,w,1
x,s,r,t,a,n,d,b,h,b,r,s,f,e,n,u,w,o,s,k,s,g,1
f,y,b,t,l,d,c,b,g,t,z,f,y,o,b,p,w,t,n,r,c,l,1
c,g,u,b,s,n,c,b,w,t,z,f,k,e,n,u,o,t,e,o,c,d,1
c,y,y,b,p,a,w,n,g,b,u,y,s,e,c,u,w,t,e,w,a,l,1
k,g,p,b,f,f,d,n,p,b,u,f,y,p,w,p,y,n,e,k,t,g,1
k,s,n,t,n,a,w,b,h,b,r,k,y,w,e,u,w,n,p,u,s,l,1
s,s,y,b,a,n,c,n,k,b,b,s,f,p,y,u,n,n,c,y,t,u,1
b,g,r,t,m,f,c,n,n,b,e,y,y,w,o,u,o,t,p,k,a,g,1
c,y,p,t,y,d,d,b,w,t,u,s,f,w,o,u,w,o,l,y,a,m,1
x,y,c,t,f,f,w,n,h,t,z,y,s,w,c,p,o,o,e,r,t,g,1
b,s,b,b,s,f,w,n,r,t,e,f,k,e,w,p,y,o,c,o,s,p,1
k,f,w,b,c,d,c,n,w,b,b,k,y,g,o,u,w,n,s,r,v,u,1
b,f,p,b,m,d,c,n,b,t,z,f,k,b,e,p,o,t,s,y,t,d,1
x,s,p,t,s,n,w,b,h,t,u,y,s,e,n,u,w,n,l,b,v,d,1
c,s,c,b,c,f,d,n,w,t,u,f,k,g,o,p,n,n,c,b,v,l,1
k,f,y,t,f,a,d,n,w,b,b,s,f,o,p,p,o,t,e,y,a,p,1
b,y,c,b,m,f,w,n,e,b,r,y,f,y,w,u,y,n,f,o,s,d,1
x,f,y,b,a,a,d,b,g,b,u,s,y,p,n,u,n,o,f,k,t,g,1
b,y,w,b,s,f,d,b,r,t,u,y,k,g,w,p,y,t,c,y,v,u,1
f,s,p,b,s,a,w,b,w,t,e,k,f,y,c,u,y,n,e,y,a,u,1
f,g,c,t,m,f,w,n,u,b,c,k,k,o,c,p,w,t,s,r,s,l,1
k,y,e,b,a,n,d,b,k,t,z,f,f,e,c,u,y,o,s,h,s,m,1
s,g,p,t,m,a,d,n,k,b,z,f,y,w,w,u,y,o,p,o,c,p,1
s,f,b,b,n,a,c,b,k,b,u,f,f,e,p,u,y,o,c,o,s,m,1
s,g,p,t,y,n,c,b,g,t,z,f,s,g,o,p,n,o,s,h,n,d,1
k,s,r,t,y,a,w,n,b,t,e,y,k,c,p,p,n,t,p,h,n,d,1
b,s,w,t,c,a,c,n,p,t,?,k,k,w,n,p,w,t,n,o,s,w,1
f,s,u,b,c,f,w,b,g,t,r,s,k,w,e,p,o,t,z,u,c,d,1
s,y,n,b,a,n,d,n,w,b,r,s,s,g,c,p,w,n,l,y,t,g,1
s,y,u,t,y,f,c,n,e,b,e,y,s,b,g,u,o,n,s,w,t,l,1
c,g,e,b,p,f,c,n,b,b,u,k,y,p,e,u,o,t,s,o,a,p,1
b,g,w,t,m,n,w,b,b,t,b,f,s,o,c,u,y,t,e,b,n,u,1
b,y,w,t,f,d,d,b,u,b,r,k,s,o,n,p,y,t,p,b,s,m,1
f,g,r,b,c,n,d,b,k,t,e,k,k,p,b,u,y,o,f,o,n,d,1
k,g,w,b,m,n,c,n,y,b,u,y,k,o,b,u,n,n,s,r,s,g,1
c,g,b,b,m,d,w,b,y,t,r,s,f,w,b,u,w,t,c,w,a,m,1
k,y,u,b,n,n,w,b,w,b,c,y,k,w,e,u,y,n,c,y,s,u,1
b,y,w,b,y,n,c,b,o,b,z,y,k,g,g,p,w,n,z,r,v,p,1
s,f,e,b,p,a,c,b,o,b,z,f,s,y,g,p,n,t,s,r,n,p,1
s,g,w,t,n,a,c,b,e,t,r,y,y,n,g,p,y,n,s,k,n,g,1
c,g,n,t,n,d,c,b,k,t,c,k,y,b,g,u,n,n,s,w,t,m,1
b,g,w,t,f,a,c,n,b,t,e,s,f,b,b,p,w,o,s,u,c,l,1
k,g,g,t,c,a,w,n,p,b,e,k,s,c,g,u,n,o,l,r,v,w,1
x,g,g,t,c,n,w,n,e,t,b,s,y,e,n,u,y,n,p,h,a,l,1
x,g,e,t,c,a,w,b,e,t,r,s,s,n,c,u,w,n,s,o,s,u,1
k,s,n,t,f,a,d,n,y,t,?,y,y,e,o,u,o,n,e,w,s,g,1
x,s,r,t,s,f,c,b,e,b,e,y,y,o,c,p,y,t,l,n,s,p,1
k,f,u,b,c,n,c,n,k,b,b,k,y,w,y,u,o,n,f,h,s,u,1
k,s,r,t,c,d,d,n,h,t,u,s,y,w,p,p,o,o,z,b,a,d,1
k,f,w,t,m,n,d,b,b,b,b,k,s,y,n,u,o,t,l,r,c,u,1
k,f,r,b,m,d,c,b,g,b,e,f,y,n,p,p,y,n,e,b,s,w,1
b,f,w,b,p,n,c,b,e,b,?,s,s,b,p,p,n,t,s,h,n,w,1
b,f,e,t,a,a,c,b,r,t,e,f,y,o,y,p,o,t,l,r,t,l,1
b,y,p,t,l,f,w,b,b,t,z,k,f,e,b,u,w,o,p,o,c,w,1
b,g,r,t,f,f,d,b,p,b,r,y,k,n,o,p,w,n,c,y,n,m,1
f,f,p,b,m,n,w,n,e,b,b,f,y,w,o,u,n,o,c,r,c,d,1
f,y,e,t,s,a,d,b,b,t,c,k,y,e,g,u,o,n,s,k,c,p,1
c,y,e,t,f,n,c,b,y,b,r,k,f,w,p,p,w,n,p,k,t,w,1
f,f,b,t,m,d,d,n,e,t,z,f,y,b,w,p,n,n,p,w,a,l,1
f,y,r,t,p,f,w,b,w,t,b,y,y,o,w,u,o,n,s,r,c,d,1
k,f,r,b,y,a,c,n,g,t,b,s,k,y,o,p,o,t,n,o,a,u,1
c,s,y,b,l,d,c,n,k,b,u,k,y,n,b,p,n,n,f,o,a,w,1
f,s,r,t,c,f,c,n,h,b,u,f,s,c,p,p,o,t,n,o,t,g,1
f,y,p,t,l,f,d,b,o,b,z,y,y,c,p,p,w,o,z,w,s,l,1
f,f,g,t,s,n,d,n,o,t,z,f,s,b,e,u,o,n,f,b,v,g,1
k,f,n,b,a,a,w,n,b,b,r,f,y,n,g,u,n,n,f,r,v,l,1
s,s,b,t,f,d,d,n,k,t,z,y,y,o,w,p,w,o,s,h,c,p,1
f,s,y,t,p,f,d,n,u,t,b,s,s,c,p,u,n,n,z,u,a,m,1
b,f,u,b,n,f,w,n,e,t,?,f,k,w,b,p,y,t,z,n,n,m,1
b,f,y,t,m,n,w,b,n,b,?,k,s,g,e,u,o,o,p,u,v,w,1
x,f,r,t,y,d,d,b,e,t,z,f,s,o,e,p,o,o,e,b,v,m,1
b,g,n,b,s,a,c,b,b,b,r,k,f,p,b,u,o,n,e,w,s,g,1
f,f,n,t,a,d,w,b,e,b,?,y,s,y,o,p,y,t,z,u,c,p,1
k,y,g,b,a,a,d,b,p,t,u,k,k,e,b,p,y,t,c,u,s,u,1
f,g,e,b,p,f,w,b,p,t,u,y,s,e,w,p,o,t,s,r,c,p,1
k,y,y,b,c,d,d,n,e,t,u,k,f,c,b,u,y,n,l,k,t,u,1
s,y,w,b,y,d,d,n,p,t,?,s,s,e,n,u,y,t,z,u,s,m,1
s,g,b,t,p,f,d,n,h,b,u,f,k,b,c,p,y,t,p,w,v,d,1
b,f,n,t,m,d,c,n,u,t,?,y,s,n,p,p,n,o,z,b,a,g,1
b,g,g,t,m,n,d,n,g,b,?,k,k,g,b,u,y,n,c,y,s,l,1
s,f,p,b,c,n,d,b,r,b,e,s,f,e,b,u,w,n,z,k,v,d,1
x,f,g,t,a,d,d,b,k,t,?,y,f,e,w,p,y,t,z,u,s,w,1
s,y,b,t,y,a,w,b,p,b,?,k,k,w,e,u,w,t,c,n,t,d,1
b,f,r,t,a,a,d,n,g,t,z,y,f,g,p,u,w,n,n,k,t,g,1
b,f,u,b,p,n,c,b,o,b,b,f,k,g,n,u,y,n,f,r,a,l,1
c,g,w,t,s,a,w,b,g,b,r,k,k,w,e,p,w,n,l,o,t,u,1
s,y,y,b,y,a,w,n,o,b,z,k,f,w,e,p,n,o,z,w,c,w,1
f,s,g,t,p,n,w,n,h,b,c,s,s,e,b,p,o,o,n,o,t,p,1
b,y,r,b,a,a,w,n,p,t,e,y,k,o,b,u,y,o,c,b,c,l,1
k,y,n,t,l,d,d,b,u,t,c,s,k,e,b,u,n,n,f,h,s,p,1
x,g,r,b,f,n,c,b,h,b,?,s,s,c,g,u,n,o,p,h,v,p,1
c,s,e,b,l,n,w,b,o,b,b,f,f,w,o,u,n,n,l,n,t,p,1
x,f,c,b,p,a,w,b,g,t,e,k,k,y,y,u,w,t,e,n,a,w,1
b,s,g,t,a,f,w,b,p,t,?,f,y,n,p,u,y,n,z,y,n,u,1
s,s,c,t,y,d,d,n,k,t,?,f,f,o,n,p,y,n,n,h,a,g,1
s,f,b,b,m,d,c,n,e,t,e,y,f,p,c,p,w,o,n,h,c,p,1
s,s,y,t,l,a,w,n,g,t,u,s,y,e,e,p,o,n,z,n,a,w,1
s,s,w,t,a,n,w,n,w,b,c,y,s,y,b,p,y,n,e,b,n,w,1
b,f,g,b,f,f,d,b,r,t,b,f,k,w,o,u,y,t,f,k,c,l,1
c,g,g,t,l,a,w,n,k,b,?,k,s,n,w,p,n,o,n,k,t,m,1
f,g,w,t,a,n,w,b,h,t,u,s,k,b,o,u,w,t,e,k,s,l,1
k,g,p,t,n,f,w,b,w,b,z,s,f,b,e,p,y,o,f,w,a,u,1
s,f,w,t,l,n,d,b,w,b,c,y,y,b,p,p,o,n,s,w,c,p,1
b,y,n,t,a,d,w,n,n,t,b,k,k,g,b,u,o,o,e,w,v,p,1
x,s,u,b,f,n,c,b,r,t,c,s,s,w,n,u,w,o,e,y,t,g,1
x,y,y,b,a,a,w,b,o,b,b,y,s,w,y,u,w,t,s,w,a,m,1
k,s,n,b,f,d,c,b,u,t,?,s,f,b,n,u,n,o,p,h,s,m,1
x,f,p,b,s,n,c,b,y,b,u,s,f,b,c,u,o,o,l,n,v,l,1
f,g,g,b,p,a,d,b,b,b,r,k,y,y,w,p,y,t,f,n,a,g,1
c,y,p,b,l,n,d,b,y,t,r,f,f,e,e,u,n,t,s,k,c,l,1
b,f,g,t,p,d,w,n,o,b,z,y,f,b,e,p,o,o,e,o,n,w,1
b,g,n,b,y,a,w,n,y,t,r,y,s,o,n,p,n,n,z,k,t,w,1
f,s,g,b,l,d,c,n,o,b,z,k,f,g,b,p,n,t,l,b,v,m,1
s,f,g,b,y,d,d,n,r,t,z,k,f,y,b,p,w,o,s,h,t,l,1
x,f,r,b,l,d,w,b,w,t,c,s,k,e,e,u,w,o,e,r,c,p,1
f,s,u,b,n,f,c,b,w,t,b,k,s,o,n,u,w,n,p,w,s,p,1
k,s,c,b,m,a,c,n,u,t,e,f,s,o,y,p,w,o,f,u,a,p,1
k,s,u,t,c,f,w,n,y,b,z,k,y,n,y,p,o,o,l,o,c,p,1
x,y,u,b,m,d,d,b,g,b,r,s,y,n,o,p,o,o,e,y,a,g,1
c,y,p,b,f,d,c,b,e,b,z,k,f,w,b,u,y,t,l,u,s,d,1
s,g,w,b,l,d,c,n,h,b,c,k,k,b,c,u,o,t,l,b,v,l,1
c,s,e,t,y,f,w,n,y,t,e,k,f,g,c,p,y,t,s,w,n,w,1
c,y,u,b,m,f,w,n,n,b,z,y,y,p,o,p,y,n,c,o,a,m,1
x,s,e,t,y,n,d,n,p,b,?,s,s,n,c,p,y,t,c,b,s,m,1
k,f,n,t,l,d,w,b,h,b,u,s,f,c,w,u,o,o,p,r,t,p,1
x,g,y,b,m,d,d,b,r,b,c,f,s,e,b,p,w,t,e,h,n,p,1
x,f,u,b,a,n,c,n,w,t,e,y,s,w,y,p,n,t,f,w,a,d,1
c,g,y,b,p,f,c,b,b,t,b,k,y,n,o,p,y,t,z,k,a,d,1
k,g,c,b,f,n,c,b,e,b,r,s,k,p,g,p,o,t,z,k,n,d,1
b,g,e,t,m,d,c,b,r,b,b,k,f,w,g,u,o,n,p,r,a,l,1
f,f,w,t,l,n,c,b,w,b,e,y,k,b,b,u,y,t,p,w,n,u,1
k,s,w,b,n,a,d,b,h,t,z,s,s,o,g,u,y,n,e,h,s,d,1
b,y,n,t,a,a,w,n,h,t,r,y,f,w,w,u,y,o,p,w,v,m,1
c,y,e,t,p,f,d,b,o,b,b,y,k,w,o,p,y,t,s,u,c,g,1
f,f,n,b,a,d,w,n,g,t,?,k,y,w,y,p,o,o,e,w,n,u,1
x,g,n,b,n,f,c,b,y,t,r,k,f,b,b,u,o,n,f,k,v,w,1
b,s,u,b,n,d,d,b,h,b,r,y,k,n,w,u,y,t,c,r,t,w,1
f,f,b,t,s,d,d,b,w,t,e,k,f,y,e,u,o,o,p,w,c,w,1
s,g,u,b,l,f,c,b,n,b,c,y,k,o,w,u,n,o,e,r,a,u,1
f,y,g,b,y,n,w,n,u,t,z,f,f,w,n,p,o,o,z,y,a,p,1
b,f,u,b,s,f,d,b,k,t,r,f,k,c,e,p,n,o,l,h,n,m,1
s,f,u,t,p,f,w,n,u,b,r,f,f,g,o,u,n,o,l,u,t,l,1
b,g,r,t,l,d,c,b,h,t,c,s,f,y,y,p,o,t,f,y,t,p,1
s,s,p,b,l,d,c,n,p,t,e,f,f,o,c,u,y,t,p,w,n,d,1
f,f,g,t,f,a,d,b,u,t,?,y,y,y,c,u,y,n,n,b,a,w,1
k,s,n,t,y,n,w,b,o,b,e,y,k,g,g,p,y,o,n,k,s,d,1
k,f,n,b,y,f,w,b,u,t,z,k,k,p,w,u,o,n,p,u,n,m,1
s,y,b,t,m,a,c,n,n,t,c,k,f,y,c,p,y,t,e,y,t,g,1
k,g,p,t,l,n,w,b,k,t,u,k,s,e,e,p,y,o,p,k,s,g,1
f,s,u,t,p,a,c,b,g,b,z,s,f,g,g,p,o,o,n,k,s,g,1
k,f,w,b,n,d,c,b,y,t,u,s,k,w,p,p,n,n,l,k,t,l,1
k,s,n,t,y,f,d,n,o,b,z,k,f,n,w,u,n,o,e,y,n,d,1
s,y,n,t,l,d,c,n,n,t,b,y,k,p,b,u,n,o,f,o,t,p,1
x,s,r,b,m,f,w,n,u,t,u,k,f,e,y,p,n,n,n,h,c,w,1
f,f,c,b,a,d,c,n,h,t,z,f,f,o,g,u,o,o,c,y,c,u,1
k,f,b,b,f,f,d,n,h,t,r,s,y,e,e,p,n,t,s,u,t,d,1
x,s,w,b,m,d,c,n,o,t,e,k,f,o,w,u,o,o,l,w,t,g,1
x,y,y,b,y,f,w,n,o,t,u,y,k,g,e,u,n,o,z,y,n,g,1
x,f,u,t,y,d,w,n,o,t,c,k,k,b,o,p,n,o,f,w,s,p,1
x,f,w,t,m,f,d,b,k,t,b,k,s,p,g,p,o,n,s,n,s,p,1
f,g,w,t,s,a,c,n,e,b,u,f,k,g,p,p,y,o,n,k,c,p,1
k,y,y,b,p,n,w,n,o,b,b,f,y,n,c,p,n,t,p,h,v,l,1
s,f,b,b,y,n,c,b,o,b,r,k,k,e,e,u,n,t,s,r,s,w,1
c,g,c,t,n,d,d,n,h,t,r,k,s,n,w,p,y,n,e,w,c,l,1
b,s,p,t,y,n,d,n,u,t,c,k,s,p,o,u,o,n,f,n,a,u,1
k,s,g,b,y,f,c,b,b,b,e,s,k,p,n,p,y,t,c,n,a,p,1
b,g,e,t,c,a,w,n,k,b,u,f,y,e,n,p,n,t,n,y,a,l,1
x,g,p,b,l,n,w,b,u,b,u,y,f,w,w,u,y,n,n,r,t,u,1
c,g,e,b,l,n,w,n,p,t,z,y,y,n,o,u,n,n,n,b,c,m,1
s,y,b,t,n,f,d,n,k,b,e,s,s,e,p,u,n,n,s,y,c,u,1
f,y,w,b,f,a,w,n,o,b,b,s,s,c,o,u,o,t,s,h,a,g,1
f,y,c,t,f,f,w,b,p,b,z,y,f,e,o,p,y,t,e,w,c,l,1
k,g,u,t,s,f,w,b,r,t,b,s,y,n,g,u,n,o,p,o,v,p,1
f,g,b,t,s,f,w,n,b,b,z,y,y,g,c,p,n,o,n,r,c,m,1
f,g,c,t,y,d,w,b,o,b,z,y,s,c,c,u,o,n,z,h,c,l,1
c,s,c,b,n,n,d,b,o,b,b,f,s,b,o,u,o,n,f,b,a,w,1
b,s,e,b,m,f,c,b,g,b,r,s,y,p,w,u,w,n,p,u,n,w,1
b,f,e,b,l,f,c,n,g,b,z,f,y,b,p,u,y,t,n,h,n,m,1
f,y,c,b,y,a,w,n,y,b,?,k,f,e,p,p,y,n,s,y,v,p,1
b,g,w,b,m,n,c,b,y,t,z,y,y,w,n,u,w,t,p,n,n,g,1
x,g,b,b,n,a,w,n,y,t,b,s,y,p,y,u,n,t,c,h,v,p,1
s,g,n,t,s,f,d,b,k,t,r,f,y,y,w,p,y,o,z,w,n,p,1
x,f,w,t,c,a,c,n,w,b,b,s,y,y,y,p,n,t,l,n,n,w,1
k,s,y,t,l,n,w,b,k,b,?,s,s,o,y,p,n,t,p,o,n,g,1
b,f,y,b,n,n,d,b,r,b,e,k,y,g,c,u,o,t,f,w,s,w,1
k,y,c,b,a,a,d,n,k,t,z,k,y,b,y,p,w,o,l,n,t,p,1
b,y,e,b,f,d,w,n,w,b,e,k,y,b,n,p,n,t,z,h,n,g,1
c,g,u,t,a,a,w,b,e,t,c,k,k,y,y,p,n,o,p,b,n,d,1
x,s,b,b,p,f,d,b,e,b,u,y,f,e,c,u,w,o,f,u,c,p,1
x,y,u,b,f,f,w,b,g,b,c,f,f,o,n,p,w,t,p,b,n,d,1
s,s,c,t,p,f,c,b,g,b,c,y,y,c,o,u,y,n,p,o,t,m,1
b,f,c,t,f,d,w,b,y,b,c,k,f,c,w,u,y,t,z,b,n,d,1
x,f,y,t,l,f,c,b,h,b,z,s,f,w,p,p,n,t,z,r,n,d,1
x,y,e,t,y,n,d,b,p,t,u,k,k,b,g,p,w,n,c,r,n,g,1
c,s,u,b,a,a,c,b,e,b,r,y,s,n,b,p,w,t,s,o,a,m,1
c,f,e,b,n,n,c,b,h,b,?,y,y,n,c,u,n,t,c,b,t,g,1
b,f,g,t,n,d,w,n,w,t,u,f,y,b,w,p,w,t,c,r,t,u,1
s,y,b,b,a,n,w,b,h,b,c,f,y,g,g,u,o,o,p,h,c,u,1
c,s,n,b,m,n,c,n,u,b,?,k,s,b,e,u,n,o,n,k,t,d,1
s,g,w,t,l,f,d,b,e,b,r,s,s,w,y,p,o,n,s,b,a,m,1
x,f,y,t,c,f,c,b,w,b,b,y,f,o,e,p,n,n,e,w,t,d,1
x,s,g,b,m,f,d,b,n,t,z,y,y,c,c,p,w,n,s,w,v,w,1
s,g,w,b,p,a,c,n,y,b,?,y,y,b,g,u,w,o,n,o,c,u,1
s,f,c,b,a,f,c,n,y,t,?,s,s,b,g,p,y,n,e,o,n,u,1
x,f,c,b,c,n,w,n,p,t,z,y,k,p,e,u,o,o,s,r,n,u,1
c,f,u,b,y,f,c,n,o,t,z,y,s,c,w,u,n,o,z,w,v,l,1
s,f,y,t,y,d,d,n,y,b,e,y,k,n,p,p,o,o,z,r,a,u,1
c,g,w,b,m,n,w,b,r,t,e,s,k,y,n,p,y,t,l,y,a,g,1
x,f,n,b,l,f,c,b,g,b,b,f,f,c,e,p,o,o,s,r,n,w,1
f,g,c,t,m,n,c,n,p,t,u,k,k,w,n,p,o,t,s,k,s,l,1
s,s,g,b,a,a,d,b,h,t,z,f,k,w,g,p,w,n,p,k,t,l,1
f,g,w,b,n,d,c,b,o,b,u,s,s,g,n,p,w,o,c,y,c,u,1
x,g,c,t,p,a,d,n,b,b,?,y,f,w,e,p,y,o,l,r,a,m,1
k,s,y,b,f,n,w,b,h,t,z,f,f,e,w,p,n,o,l,k,v,p,1
c,g,e,t,a,n,d,b,p,t,c,f,s,y,c,p,y,n,z,u,t,d,1
b,s,p,t,l,d,c,n,r,b,u,s,f,e,w,u,n,n,s,b,t,l,1
s,f,e,t,y,d,d,n,r,b,?,y,k,w,b,u,n,t,p,r,n,p,1
f,g,r,t,l,n,c,b,n,t,u,y,y,b,n,u,w,t,l,u,c,l,1
x,f,g,t,s,a,d,n,e,t,e,s,f,o,n,p,w,t,f,y,v,u,1
k,g,b,b,f,a,w,n,b,t,?,k,f,o,c,p,n,t,e,o,a,l,1
k,s,u,b,f,a,c,b,k,b,z,y,s,y,c,u,y,n,f,u,s,l,1
k,g,u,b,f,n,d,b,u,b,e,k,s,b,p,u,y,n,s,k,s,g,1
s,s,w,t,y,d,c,n,k,b,r,k,f,b,e,p,o,t,c,k,s,m,1
f,y,r,t,n,n,c,b,b,t,?,s,f,e,o,u,n,t,c,r,v,l,1
k,s,n,t,p,n,w,n,h,t,e,k,y,c,y,p,w,t,s,n,n,d,1
s,g,g,b,y,d,d,n,g,t,z,y,s,e,n,u,n,t,n,n,a,g,1
f,s,y,b,a,d,d,n,h,b,e,k,y,g,c,u,o,o,c,n,t,d,1
s,s,b,b,p,d,w,b,w,b,r,y,y,g,c,u,w,n,p,h,v,p,1
s,s,y,b,f,f,w,b,p,b,r,f,s,c,e,p,w,n,e,n,s,g,1
k,f,b,b,y,n,c,n,y,t,z,f,f,o,y,p,w,o,p,u,t,g,1
f,f,u,b,c,d,w,b,r,t,r,f,k,b,w,u,y,n,e,r,n,g,1
s,f,r,t,y,f,d,n,b,t,?,k,y,w,b,u,n,o,l,u,t,d,1
x,f,r,b,s,a,w,n,y,t,c,f,k,y,n,u,n,o,n,w,c,d,1
k,g,c,t,f,d,c,b,k,b,e,f,s,o,e,p,n,n,p,y,c,m,1
f,f,g,t,m,f,c,b,y,t,?,y,y,b,n,p,o,n,c,y,v,d,1
b,g,u,b,s,d,d,n,h,t,r,y,k,e,y,u,n,o,p,r,a,w,1
k,y,g,b,a,n,w,n,k,b,u,k,f,n,p,u,o,t,c,h,t,g,1
x,y,e,b,m,d,w,n,r,b,b,f,f,b,g,p,w,t,p,w,c,l,1
k,y,g,b,f,f,d,n,y,t,r,f,k,o,b,p,y,o,c,r,c,l,1
x,y,p,b,y,d,c,b,w,t,u,y,s,w,c,p,y,t,f,o,a,g,1
